"FaceID","cosine","sine","atlantis_layer","face_area","maxz","minz","uvec","Polygon #","Face #","adjacent box","roms_layer","u","v","lat","lon"
3,0.3162277937186,0.948683288816593,1,790.569455875547,-5,0,"10145:10146",34,1,44,2,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,1,790.569455875547,-5,0,"10145:10146",34,1,44,3,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,1,790.569455875547,-5,0,"10145:10146",44,3,34,1,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,1,790.569455875547,-5,0,"10145:10146",44,3,34,2,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,1,790.569455875547,-5,0,"10145:10146",44,3,34,3,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",34,1,44,4,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",34,1,44,5,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",34,1,44,6,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",34,1,44,7,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",34,1,44,8,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",34,1,44,9,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",34,1,44,10,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",44,3,34,4,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",44,3,34,5,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",44,3,34,6,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",44,3,34,7,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",44,3,34,8,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",44,3,34,9,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,2,3162.27782350219,-25,-5,"10145:10146",44,3,34,10,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,1,11513.4458191433,-5,0,"c(9827, 9828, 9986, 9987, 10145, 10146)",43,3,44,1,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,1,11513.4458191433,-5,0,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,1,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,1,11513.4458191433,-5,0,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,2,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,1,11513.4458191433,-5,0,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,3,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,2,46053.7832765732,-25,-5,"c(9827, 9828, 9986, 9987, 10145, 10146)",43,3,44,2,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,2,46053.7832765732,-25,-5,"c(9827, 9828, 9986, 9987, 10145, 10146)",43,3,44,3,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,2,46053.7832765732,-25,-5,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,4,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,2,46053.7832765732,-25,-5,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,5,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,2,46053.7832765732,-25,-5,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,6,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,2,46053.7832765732,-25,-5,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,7,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,2,46053.7832765732,-25,-5,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,8,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,2,46053.7832765732,-25,-5,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,9,NA,NA,NA,NA
4,0.984322793067806,0.176376412955906,2,46053.7832765732,-25,-5,"c(9827, 9828, 9986, 9987, 10145, 10146)",44,4,43,10,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,1,2077.23312858394,-5,0,"9037:9038",45,3,46,1,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,1,2077.23312858394,-5,0,"9037:9038",46,1,45,1,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,1,2077.23312858394,-5,0,"9037:9038",46,1,45,2,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,1,2077.23312858394,-5,0,"9037:9038",46,1,45,3,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",45,3,46,2,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",45,3,46,3,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",45,3,46,4,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",46,1,45,4,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",46,1,45,5,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",46,1,45,6,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",46,1,45,7,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",46,1,45,8,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",46,1,45,9,NA,NA,NA,NA
5,0.0312346086962376,0.999512080577115,2,8308.93251433577,-25,-5,"9037:9038",46,1,45,10,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,1,6005.20639147588,-5,0,"c(1992, 1993, 2151, 2152)",57,1,58,1,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,1,6005.20639147588,-5,0,"c(1992, 1993, 2151, 2152)",57,1,58,2,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,1,6005.20639147588,-5,0,"c(1992, 1993, 2151, 2152)",58,1,57,1,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,1,6005.20639147588,-5,0,"c(1992, 1993, 2151, 2152)",58,1,57,2,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,1,6005.20639147588,-5,0,"c(1992, 1993, 2151, 2152)",58,1,57,3,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",57,1,58,3,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",57,1,58,4,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",57,1,58,5,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",57,1,58,6,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",58,1,57,4,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",58,1,57,5,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",58,1,57,6,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",58,1,57,7,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",58,1,57,8,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",58,1,57,9,NA,NA,NA,NA
6,0.0416305757770179,0.999133071797983,2,24020.8255659035,-25,-5,"c(1992, 1993, 2151, 2152)",58,1,57,10,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,1,3824.26483635614,-5,0,"c(2305, 2464)",58,2,59,1,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,1,3824.26483635614,-5,0,"c(2305, 2464)",58,2,59,2,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,1,3824.26483635614,-5,0,"c(2305, 2464)",58,2,59,3,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,1,3824.26483635614,-5,0,"c(2305, 2464)",59,1,58,1,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,1,3824.26483635614,-5,0,"c(2305, 2464)",59,1,58,2,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,1,3824.26483635614,-5,0,"c(2305, 2464)",59,1,58,3,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",58,2,59,4,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",58,2,59,5,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",58,2,59,6,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",58,2,59,7,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",58,2,59,8,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",58,2,59,9,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",58,2,59,10,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",59,1,58,4,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",59,1,58,5,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",59,1,58,6,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",59,1,58,7,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",59,1,58,8,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",59,1,58,9,NA,NA,NA,NA
7,0.196116165672054,0.980580669584146,2,15297.0593454246,-25,-5,"c(2305, 2464)",59,1,58,10,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,1,5062.11444895134,-5,0,"c(2464, 2623, 2624)",58,3,59,1,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,1,5062.11444895134,-5,0,"c(2464, 2623, 2624)",58,3,59,2,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,1,5062.11444895134,-5,0,"c(2464, 2623, 2624)",58,3,59,3,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,1,5062.11444895134,-5,0,"c(2464, 2623, 2624)",59,2,58,1,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,1,5062.11444895134,-5,0,"c(2464, 2623, 2624)",59,2,58,2,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,1,5062.11444895134,-5,0,"c(2464, 2623, 2624)",59,2,58,3,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",58,3,59,4,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",58,3,59,5,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",58,3,59,6,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",58,3,59,7,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",58,3,59,8,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",58,3,59,9,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",58,3,59,10,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",59,2,58,4,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",59,2,58,5,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",59,2,58,6,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",59,2,58,7,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",59,2,58,8,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",59,2,58,9,NA,NA,NA,NA
8,0.345705388007274,0.938343106066614,2,20248.4577958054,-25,-5,"c(2464, 2623, 2624)",59,2,58,10,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,1,1767.76704590215,-5,0,"2623:2624",58,4,59,1,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,1,1767.76704590215,-5,0,"2623:2624",58,4,59,2,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,1,1767.76704590215,-5,0,"2623:2624",58,4,59,3,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,1,1767.76704590215,-5,0,"2623:2624",59,3,58,1,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,1,1767.76704590215,-5,0,"2623:2624",59,3,58,2,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,1,1767.76704590215,-5,0,"2623:2624",59,3,58,3,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",58,4,59,4,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",58,4,59,5,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",58,4,59,6,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",58,4,59,7,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",58,4,59,8,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",58,4,59,9,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",58,4,59,10,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",59,3,58,4,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",59,3,58,5,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",59,3,58,6,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",59,3,58,7,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",59,3,58,8,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",59,3,58,9,NA,NA,NA,NA
9,0.141421387034906,0.989949489261509,2,7071.06818360859,-25,-5,"2623:2624",59,3,58,10,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,1,901.387866069068,-5,0,"3100:3101",58,9,59,1,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,1,901.387866069068,-5,0,"3100:3101",58,9,59,2,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,1,901.387866069068,-5,0,"3100:3101",58,9,59,3,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,1,901.387866069068,-5,0,"3100:3101",59,5,58,1,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,1,901.387866069068,-5,0,"3100:3101",59,5,58,2,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,1,901.387866069068,-5,0,"3100:3101",59,5,58,3,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",58,9,59,4,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",58,9,59,5,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",58,9,59,6,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",58,9,59,7,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",58,9,59,8,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",58,9,59,9,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",58,9,59,10,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",59,5,58,4,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",59,5,58,5,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",59,5,58,6,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",59,5,58,7,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",59,5,58,8,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",59,5,58,9,NA,NA,NA,NA
15,0.832050311526576,0.55470017044213,2,3605.55146427627,-25,-5,"3100:3101",59,5,58,10,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,1,11051.0186365396,-5,0,"c(3454, 3455, 3612, 3613)",54,1,55,1,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,1,11051.0186365396,-5,0,"c(3454, 3455, 3612, 3613)",54,1,55,2,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,1,11051.0186365396,-5,0,"c(3454, 3455, 3612, 3613)",55,1,54,1,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,2,44204.0745461583,-25,-5,"c(3454, 3455, 3612, 3613)",54,1,55,3,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,2,44204.0745461583,-25,-5,"c(3454, 3455, 3612, 3613)",54,1,55,4,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,2,44204.0745461583,-25,-5,"c(3454, 3455, 3612, 3613)",54,1,55,5,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,2,44204.0745461583,-25,-5,"c(3454, 3455, 3612, 3613)",54,1,55,6,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,2,44204.0745461583,-25,-5,"c(3454, 3455, 3612, 3613)",55,1,54,2,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,2,44204.0745461583,-25,-5,"c(3454, 3455, 3612, 3613)",55,1,54,3,NA,NA,NA,NA
16,0.791782274103502,0.610803430258449,2,44204.0745461583,-25,-5,"c(3454, 3455, 3612, 3613)",55,1,54,4,NA,NA,NA,NA
